stride = 25, sequence_len = 50, ratio = 0.2, data.shape = (2608, 5, 50, 15, 3), training_len = 521
stride = 25, sequence_len = 50, ratio = 0.21, data.shape = (2608, 5, 50, 15, 3), training_len = 547
stride = 25, sequence_len = 50, ratio = 0.22, data.shape = (2608, 5, 50, 15, 3), training_len = 573
stride = 25, sequence_len = 50, ratio = 0.23, data.shape = (2608, 5, 50, 15, 3), training_len = 599
stride = 25, sequence_len = 50, ratio = 0.24, data.shape = (2608, 5, 50, 15, 3), training_len = 625
stride = 25, sequence_len = 50, ratio = 0.25, data.shape = (2608, 5, 50, 15, 3), training_len = 652
stride = 25, sequence_len = 50, ratio = 0.26, data.shape = (2608, 5, 50, 15, 3), training_len = 678
stride = 25, sequence_len = 50, ratio = 0.27, data.shape = (2608, 5, 50, 15, 3), training_len = 704
stride = 25, sequence_len = 50, ratio = 0.28, data.shape = (2608, 5, 50, 15, 3), training_len = 730
stride = 25, sequence_len = 50, ratio = 0.29, data.shape = (2608, 5, 50, 15, 3), training_len = 756
stride = 25, sequence_len = 50, ratio = 0.3, data.shape = (2608, 5, 50, 15, 3), training_len = 782
stride = 25, sequence_len = 50, ratio = 0.31, data.shape = (2608, 5, 50, 15, 3), training_len = 808
stride = 25, sequence_len = 50, ratio = 0.32, data.shape = (2608, 5, 50, 15, 3), training_len = 834
stride = 25, sequence_len = 50, ratio = 0.33, data.shape = (2608, 5, 50, 15, 3), training_len = 860
stride = 25, sequence_len = 50, ratio = 0.34, data.shape = (2608, 5, 50, 15, 3), training_len = 886
stride = 25, sequence_len = 50, ratio = 0.35, data.shape = (2608, 5, 50, 15, 3), training_len = 912
stride = 25, sequence_len = 50, ratio = 0.36, data.shape = (2608, 5, 50, 15, 3), training_len = 938
stride = 25, sequence_len = 50, ratio = 0.37, data.shape = (2608, 5, 50, 15, 3), training_len = 964
stride = 25, sequence_len = 50, ratio = 0.38, data.shape = (2608, 5, 50, 15, 3), training_len = 991
stride = 25, sequence_len = 50, ratio = 0.39, data.shape = (2608, 5, 50, 15, 3), training_len = 1017
stride = 25, sequence_len = 50, ratio = 0.4, data.shape = (2608, 5, 50, 15, 3), training_len = 1043
stride = 25, sequence_len = 50, ratio = 0.41, data.shape = (2608, 5, 50, 15, 3), training_len = 1069
stride = 25, sequence_len = 50, ratio = 0.42, data.shape = (2608, 5, 50, 15, 3), training_len = 1095
stride = 25, sequence_len = 50, ratio = 0.43, data.shape = (2608, 5, 50, 15, 3), training_len = 1121
stride = 25, sequence_len = 50, ratio = 0.44, data.shape = (2608, 5, 50, 15, 3), training_len = 1147
stride = 25, sequence_len = 50, ratio = 0.45, data.shape = (2608, 5, 50, 15, 3), training_len = 1173
stride = 25, sequence_len = 50, ratio = 0.46, data.shape = (2608, 5, 50, 15, 3), training_len = 1199
stride = 25, sequence_len = 50, ratio = 0.47, data.shape = (2608, 5, 50, 15, 3), training_len = 1225
stride = 25, sequence_len = 50, ratio = 0.48, data.shape = (2608, 5, 50, 15, 3), training_len = 1251
stride = 25, sequence_len = 50, ratio = 0.49, data.shape = (2608, 5, 50, 15, 3), training_len = 1277
stride = 25, sequence_len = 50, ratio = 0.5, data.shape = (2608, 5, 50, 15, 3), training_len = 1304
stride = 25, sequence_len = 50, ratio = 0.51, data.shape = (2608, 5, 50, 15, 3), training_len = 1330
stride = 25, sequence_len = 50, ratio = 0.52, data.shape = (2608, 5, 50, 15, 3), training_len = 1356
stride = 25, sequence_len = 50, ratio = 0.53, data.shape = (2608, 5, 50, 15, 3), training_len = 1382
stride = 25, sequence_len = 50, ratio = 0.54, data.shape = (2608, 5, 50, 15, 3), training_len = 1408
stride = 25, sequence_len = 50, ratio = 0.55, data.shape = (2608, 5, 50, 15, 3), training_len = 1434
stride = 25, sequence_len = 50, ratio = 0.56, data.shape = (2608, 5, 50, 15, 3), training_len = 1460
